127.0.0.1 - - [18/Oct/2016:21:55:54 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:55:57 +0900] "GET /jaxrs-sample/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:57:10 +0900] "GET /jaxrs-sample/sample HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:57:14 +0900] "GET /jaxrs-sample/sample HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:07 +0900] "GET /jaxrs-sample/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:09 +0900] "GET /jaxrs-sample/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:21 +0900] "GET /jaxrs-sample/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:26 +0900] "GET /jaxrs-sample/sample HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Oct/2016:21:58:46 +0900] "GET /jaxrs-sample/sample HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Oct/2016:22:00:17 +0900] "GET /jaxrs-sample/rest/*sample HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [18/Oct/2016:22:00:20 +0900] "GET /jaxrs-sample/rest/sample HTTP/1.1" 200 15
